1;2545.00;9.70;1811.00;small
1;2516.00;9.70;1803.00;small
2;2518.00;9.70;1852.00;small
2;2492.00;10.00;1815.00;small
3;2494.00;9.70;1897.00;small
3;2479.00;10.68;1932.00;small
4;2428.00;9.70;1826.00;small
4;2447.00;9.70;1854.00;small
5;2620.00;9.70;1792.00;small
5;2628.00;9.50;1824.00;small
6;2691.00;9.70;1832.00;small
6;2665.00;9.70;1818.00;small
7;2663.00;9.70;1775.00;big
7;2704.00;9.70;1748.00;big
8;2753.00;9.70;1821.00;big
9;2882.00;9.50;1941.00;big
9;2938.00;9.50;1990.00;big
10;2751.00;9.70;1916.00;big
10;2769.00;9.70;1969.00;big
11;2705.00;15.05;2062.00;big
11;2676.00;14.88;1992.00;big
12;3023.00;9.70;2213.00;big
12;3108.00;9.70;2171.00;big
12;3066.00;9.70;2183.00;big
12;3011.00;9.70;2172.00;big
12;2992.00;9.70;2184.00;big
13;2971.00;9.70;2030.00;big
13;2941.00;9.70;2057.00;big
14;3439.00;9.70;2058.00;big
14;3409.00;10.35;1895.00;big
14;3478.00;9.70;1904.00;big
14;3530.00;9.70;1956.00;big
14;3423.00;9.70;1973.00;big
14;3471.00;9.70;1959.00;big
14;3534.00;9.70;2032.00;big
14;3592.00;9.70;1957.00;big
14;3582.00;9.70;1890.00;big
16;2532.00;9.50;1994.00;big
16;2565.00;9.50;1905.00;big
17;3077.00;9.50;1126.00;big
17;3097.00;14.20;1022.00;big
17;3045.00;9.70;1082.00;big
17;3091.00;14.18;1081.00;big
18;2572.00;9.50;1811.00;small
18;2502.00;9.50;1770.00;small
19;2590.00;9.70;1751.00;big
19;2633.00;11.20;1737.00;big
20;2623.00;9.70;1676.00;big
20;2569.00;9.70;1662.00;big
21;2677.00;10.70;1695.00;big
21;2748.00;13.85;1719.00;big
22;2765.00;9.70;1774.00;small
22;2819.00;10.78;1751.00;small
23;2719.00;9.70;1643.00;small
23;2768.00;9.70;1583.00;small
24;2789.00;9.70;1672.00;small
24;2842.00;10.32;1631.00;small
25;2931.00;9.70;1602.00;small
25;2866.00;9.70;1567.00;small
26;2937.00;9.70;1703.00;small
26;2909.00;9.70;1642.00;small
27;2882.00;12.98;1707.00;small
27;2814.00;9.70;1712.00;small
28;3175.00;9.70;1485.00;big
28;3120.00;9.70;1484.00;big
28;3200.00;9.70;1424.00;big
29;2754.00;9.50;1503.00;big
29;2837.00;9.50;1492.00;big
30;2963.00;9.50;1637.00;big
30;3054.00;9.50;1644.00;big
31;3629.00;11.20;1135.00;big
31;3631.00;11.78;1205.00;big
32;1050.00;9.50;665.00;big
32;1131.00;9.50;374.00;big
33;579.00;9.50;2048.00;big
33;345.00;9.70;2024.00;big
34;1331.00;9.50;1203.00;big
34;1410.00;9.70;1146.00;big
35;1692.00;9.70;438.00;big
35;1659.00;9.70;500.00;big
